,FID,OID_,lat,lon
219,219,0,35.625,106.875
220,220,0,35.625,107.125
221,221,0,35.625,107.375
222,222,0,35.625,107.625
223,223,0,35.625,107.875
224,224,0,35.625,108.125
225,225,0,35.625,108.375
226,226,0,35.625,108.625
227,227,0,35.625,108.875
228,228,0,35.625,109.125
229,229,0,35.625,109.375
230,230,0,35.625,109.625
231,231,0,35.625,109.875
232,232,0,35.625,110.125
233,233,0,35.625,110.375
234,234,0,35.625,110.625
235,235,0,35.625,110.875
236,236,0,35.625,111.125
237,237,0,35.625,111.375
238,238,0,35.625,111.625
239,239,0,35.625,111.875
240,240,0,35.625,112.125
241,241,0,35.625,112.375
242,242,0,35.625,112.625
243,243,0,35.625,112.875
244,244,0,35.625,113.125
245,245,0,35.625,113.375
246,246,0,35.875,101.375
247,247,0,35.875,101.625
248,248,0,35.875,101.875
249,249,0,35.875,102.125
250,250,0,35.875,102.375
251,251,0,35.875,102.625
252,252,0,35.875,102.875
253,253,0,35.875,103.125
254,254,0,35.875,103.375
255,255,0,35.875,103.625
256,256,0,35.875,103.875
257,257,0,35.875,104.125
258,258,0,35.875,104.375
259,259,0,35.875,104.625
260,260,0,35.875,104.875
261,261,0,35.875,105.125
262,262,0,35.875,105.375
263,263,0,35.875,105.625
264,264,0,35.875,105.875
265,265,0,35.875,106.125
266,266,0,35.875,106.375
267,267,0,35.875,106.625
268,268,0,35.875,106.875
269,269,0,35.875,107.125
270,270,0,35.875,107.375
271,271,0,35.875,107.625
272,272,0,35.875,107.875
273,273,0,35.875,108.125
274,274,0,35.875,108.375
275,275,0,35.875,108.625
276,276,0,35.875,108.875
277,277,0,35.875,109.125
278,278,0,35.875,109.375
279,279,0,35.875,109.625
280,280,0,35.875,109.875
281,281,0,35.875,110.125
282,282,0,35.875,110.375
283,283,0,35.875,110.625
284,284,0,35.875,110.875
285,285,0,35.875,111.125
286,286,0,35.875,111.375
287,287,0,35.875,111.625
288,288,0,35.875,111.875
289,289,0,35.875,112.125
290,290,0,35.875,112.375
291,291,0,35.875,112.625
292,292,0,35.875,112.875
293,293,0,35.875,113.125
294,294,0,35.875,113.375
295,295,0,35.875,113.625
296,296,0,36.125,101.125
297,297,0,36.125,101.375
298,298,0,36.125,101.625
299,299,0,36.125,101.875
300,300,0,36.125,102.125
301,301,0,36.125,102.375
302,302,0,36.125,102.625
303,303,0,36.125,102.875
304,304,0,36.125,103.125
305,305,0,36.125,103.375
306,306,0,36.125,103.625
307,307,0,36.125,103.875
308,308,0,36.125,104.125
309,309,0,36.125,104.375
310,310,0,36.125,104.625
311,311,0,36.125,104.875
312,312,0,36.125,105.125
313,313,0,36.125,105.375
314,314,0,36.125,105.625
315,315,0,36.125,105.875
316,316,0,36.125,106.125
317,317,0,36.125,106.375
318,318,0,36.125,106.625
319,319,0,36.125,106.875
320,320,0,36.125,107.125
321,321,0,36.125,107.375
322,322,0,36.125,107.625
323,323,0,36.125,107.875
324,324,0,36.125,108.125
325,325,0,36.125,108.375
326,326,0,36.125,108.625
327,327,0,36.125,108.875
328,328,0,36.125,109.125
329,329,0,36.125,109.375
330,330,0,36.125,109.625
331,331,0,36.125,109.875
332,332,0,36.125,110.125
333,333,0,36.125,110.375
334,334,0,36.125,110.625
335,335,0,36.125,110.875
336,336,0,36.125,111.125
337,337,0,36.125,111.375
338,338,0,36.125,111.625
339,339,0,36.125,111.875
340,340,0,36.125,112.125
341,341,0,36.125,112.375
342,342,0,36.125,112.625
343,343,0,36.125,112.875
344,344,0,36.125,113.125
345,345,0,36.125,113.375
346,346,0,36.125,113.625
347,347,0,36.375,101.375
348,348,0,36.375,101.625
349,349,0,36.375,101.875
350,350,0,36.375,102.125
351,351,0,36.375,102.375
352,352,0,36.375,102.625
353,353,0,36.375,102.875
354,354,0,36.375,103.125
355,355,0,36.375,103.375
356,356,0,36.375,103.625
357,357,0,36.375,103.875
358,358,0,36.375,104.125
359,359,0,36.375,104.375
360,360,0,36.375,104.625
361,361,0,36.375,104.875
362,362,0,36.375,105.125
363,363,0,36.375,105.375
364,364,0,36.375,105.625
365,365,0,36.375,105.875
366,366,0,36.375,106.125
367,367,0,36.375,106.375
368,368,0,36.375,106.625
369,369,0,36.375,106.875
370,370,0,36.375,107.125
371,371,0,36.375,107.375
372,372,0,36.375,107.625
373,373,0,36.375,107.875
374,374,0,36.375,108.125
375,375,0,36.375,108.375
376,376,0,36.375,108.625
377,377,0,36.375,108.875
378,378,0,36.375,109.125
379,379,0,36.375,109.375
380,380,0,36.375,109.625
381,381,0,36.375,109.875
382,382,0,36.375,110.125
383,383,0,36.375,110.375
384,384,0,36.375,110.625
385,385,0,36.375,110.875
386,386,0,36.375,111.125
387,387,0,36.375,111.375
388,388,0,36.375,111.625
389,389,0,36.375,111.875
390,390,0,36.375,112.125
391,391,0,36.375,112.375
392,392,0,36.375,112.625
393,393,0,36.375,112.875
394,394,0,36.375,113.125
395,395,0,36.375,113.375
396,396,0,36.375,113.625
397,397,0,36.625,101.125
398,398,0,36.625,101.375
399,399,0,36.625,101.625
400,400,0,36.625,101.875
401,401,0,36.625,102.125
402,402,0,36.625,102.375
403,403,0,36.625,102.625
404,404,0,36.625,103.125
405,405,0,36.625,103.375
406,406,0,36.625,103.625
407,407,0,36.625,103.875
408,408,0,36.625,104.125
409,409,0,36.625,104.375
410,410,0,36.625,104.625
411,411,0,36.625,104.875
412,412,0,36.625,105.125
413,413,0,36.625,105.375
414,414,0,36.625,105.625
415,415,0,36.625,105.875
416,416,0,36.625,106.125
417,417,0,36.625,106.375
418,418,0,36.625,106.625
419,419,0,36.625,106.875
420,420,0,36.625,107.125
421,421,0,36.625,107.375
422,422,0,36.625,107.625
423,423,0,36.625,107.875
424,424,0,36.625,108.125
425,425,0,36.625,108.375
426,426,0,36.625,108.625
427,427,0,36.625,108.875
428,428,0,36.625,109.125
429,429,0,36.625,109.375
430,430,0,36.625,109.625
